Index,X,Y,Re(frequency 0),Im(frequency 0),Re(frequency 1),Im(frequency 1),Re(frequency 2),Im(frequency 2),Re(frequency 3),Im(frequency 3),Re(frequency 4),Im(frequency 4),Re(frequency 5),Im(frequency 5)
635,0.5583638888889999,0.27794612590799994,51.83606906594573,-70.86916092745183,-5.986630126154805,-116.86057912828662,-123.76004338949741,-35.67319770362347,-48.19041322225339,103.30274261754394,105.49556372184709,38.64946696099476,-50.88114123915293,-66.33835944360904
636,0.558363888889,0.2564881355932,52.36949443159068,-10.651968148780474,56.54040065023808,-94.83345421119833,-81.96773686360909,-85.30187637957971,-78.50457511186934,63.73396351884027,57.73477014753525,54.80892915466755,-49.771537494066585,-72.38021922840713
637,0.5583638888890001,0.24527312348719998,63.89942743843036,3.450637669364365,81.73249337884812,-84.19743457501696,-64.20200624346103,-101.54373493716561,-104.89179077342915,51.89566799595726,41.40931109807134,87.02360732172765,33.94399550178297,-46.18347098672402
638,0.558363888889,0.21265435835300003,75.0566036654855,16.47564929225795,105.85826455984208,-84.65312038801866,-86.897565473248,-132.83525542196492,-179.59245569298878,46.00679873085198,-2.72566492440599,186.36804735138438,-18.366861373000532,-47.14128736890629
639,0.558363888889,0.1888440677964,7.696619776378452,70.66537775336117,83.82762095308489,-33.183321423724166,-72.48939778831196,-112.33765148276096,-197.45366466722797,23.02080282983609,-44.58346071574414,184.2994038826115,46.81518804744763,-58.61259256241196
640,0.558363888889,0.16747409201040003,-5.311353783171285,-1.577852145056237,57.6304100332597,13.727209639572255,-15.039966157487054,-65.40751039838942,-132.66565475538295,-3.5175657578404005,-68.44475413322904,135.61745311962127,1.5343529383210788,-6.181406472563522
641,0.558363888889,0.13990605326859998,-68.98901401817808,-51.32168110586614,1.216041484174335,46.70271432407428,47.1715201930557,1.5809943519572847,-50.808169220487365,-47.35230704047135,-73.30422621294483,50.749104068891505,15.051014043463203,25.47228335925339
643,0.5583638888890001,0.09403292978219999,-54.36841296739772,-173.82644522969676,-59.562908889683435,-31.391069927462855,-2.7779203765116027,22.761624896368556,-31.2643060669959,-36.776916474195666,-117.37432431478985,21.13402299696668,-44.64537554934332,7.3110752215905865
645,0.5583638888890001,0.03816049809751428,75.39393158643858,-72.71846652574796,-55.69522646795083,-88.24429875642129,-94.40877172975193,29.201469233331533,-42.38093327476379,64.60792416376825,-40.99581954145168,35.85307922848972,-46.781892160219535,32.22513016120916
646,0.558363888889,0.0178934624697,13.55306337494257,-35.77089693481671,-46.26107969713229,-57.46308223491598,-90.78054236997961,55.15210108514728,5.874791936554284,87.3389422318434,48.70279712065139,-25.137002305181124,-43.81121114873691,10.15894125466439
647,0.558363888889,9.98062953996E-4,-9.476289871347802,29.300240783189466,-39.78496402466606,-48.08111593004741,-71.9847789275116,50.217017907829195,27.104619548587035,97.12638016897894,66.68688546789937,-14.498182380657214,-18.23469317899764,-5.784229540411028
700,0.65845,1.4679969733624998,10.818809769205934,-28.44413788438274,-63.59353178749073,-36.19546892300029,-70.39120413060597,79.59698404658968,48.146539250733476,145.29236693454703,142.52748480431828,69.601882874138,-16.368100129023702,-2.7226574419677396
